´Žèurl,pick,team,year,player,pos,pos_cat,college,weight,weight_normalized,height_inches,height_normalized,forty,forty_normalized,vertical,vertical_normalized,bench,bench_normalized,broad,broad_normalized,threecone,threecone_normalized,shuttle,shuttle_normalized,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,num_missing_vals
https://www.sports-reference.com/cfb/players/james-quick-1.html,300,Not Drafted,2017,James Quick,WR,WR,Louisville,186,3.562457961,72,5.846153846,4.6,4.048302619,31,3.368421053,11,3.739130435,115,4.196051101,7,5.380530973,4.39,4.5625,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,14,2032,126,3,0,17,129,14,2049,4,0
https://www.sports-reference.com/cfb/players/james-rodgers-1.html,300,Not Drafted,2012,James Rodgers,WR,WR,Oregon State,184,3.336579293,67,2.384615385,4.61,3.87371484,37,6.210526316,19,6.869565217,115,4.196051101,NA,NA,4.23,6.0625,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19,2578,222,173,9,1410,395,28,3988,5,1
https://www.sports-reference.com/cfb/players/james-sample-2.html,104,Jacksonville Jaguars,2015,James Sample,S,S,Louisville,209,5.500008654,74,7,4.56,5.660714286,32.5,3.436837767,NA,NA,123,5.781264941,7.04,6.083969466,NA,NA,16,0,0,0,0,13,4,0,36,2.0,8,0,1,74.0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
https://www.sports-reference.com/cfb/players/james-starks-1.html,193,Green Bay Packers,2010,James Starks,RB,RB,Buffalo,218,4.982300885,74,8.2,4.5,6.999615335,36,6.4,15,4.00001,119,5.621621622,6.89,7.399807393,4.23,6.417475728,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,36,3,898,127,698,34,3140,825,37,4038,3,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-stone-1.html,300,Not Drafted,2014,James Stone,C,OL,Tennessee,306,5.135139518,76,4.6,5.17,6.249652746,27.5,5.135135135,22,4.656261426,105,6.400009,8.16,3.873124887,4.63,6.324693724,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-vandenberg-1.html,300,Not Drafted,2013,James Vandenberg,QB,QB,Iowa,226,5.781324708,75,6,4.92,4.742053669,32,6.108108108,NA,NA,116,6.625,6.95,7.251698603,4.52,3.571428571,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,888,226.8,507,32,20,35,5786,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/james-washington-5.html,60,Pittsburgh Steelers,2018,James Washington,WR,WR,Oklahoma State,213,6.61181998,71,5.153846154,4.54,5.095829292,34.5,5.026315789,14,4.913043478,120,5.52773906,7.11,4.504424779,4.32,5.21875,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,39,4472,226,9,1,70,235,40,4542,4,0
https://www.sports-reference.com/cfb/players/james-whalen-1.html,157,Tampa Bay Buccaneers,2000,James Whalen,TE,TE,Kentucky,228,1.473685042,74,4,4.78,4.875,31,3.918918919,NA,NA,110,4,7.42,4.568497284,4.22,7.428571429,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,13,1324,120,0,0,0,120,13,1324,3,1
https://www.sports-reference.com/cfb/players/james-white-2.html,130,New England Patriots,2014,James White,RB,RB,Wisconsin,204,3.867256637,69,3.7,4.57,6.191819464,32,4.342857143,23,6.400018,114,4.405405405,7.05,6.333061708,4.2,6.67961165,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,52,3,670,73,643,45,4015,716,48,4685,4,0,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/james-wilder-jr-1.html,300,Not Drafted,2014,"James Wilder, Jr.",RB,RB,Florida State,232,6.097345133,75,9.1,4.65,5.268624183,35,5.885714286,18,4.900013,121,6.108108108,6.92,7.199792577,4.24,6.330097087,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,39,2,182,24,226,20,1363,250,22,1545,3,0,0,0,0,0,0,0,0,0,0,0,0
